lpermno,gvkey,datadate,SIC4,FF12,fyear,l1_TA,l1_lnTA,l1_RD_A,l1_ROA,l1_ROE,l1_LEVERAGE,l1_DY,l1_CPNA,l1_CEOAge,l1_CEOChair,l1_CEOTenure,l1_CEOFemale,CEOPay,lnCEOPay
89695,4045,31dec2018,6792,Finance,2018,85.462143,4.4480734,0,.41743892,.42342362,0,.076039471,.17677064,,,,,,
25953,4058,31dec2018,3585,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",2018,9895.2266,9.1998081,.011727347,.07615795,.18517721,.33619794,.018021585,.076129615,63,0,10,0,25325.014,17.047302
16851,4060,31dec2018,2860,Chemicals and Allied Products,2018,178416.98,12.091879,.010980205,.0079983762,.015319446,.17730168,.02471216,.080969796,62,1,14,0,16932.637,16.644754
30681,4066,31dec2018,7311,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",2018,23147.672,10.049649,0,.043656141,.41619822,.20196381,.030893862,.17962791,64,0,21,0,21710.715,16.893316
30737,4072,31jul2018,5621,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018,3594.5408,8.1871719,0,-.27568126,-1.3,.39728788,0,.09213236,59,1,16,0,1873.5317,14.443336
63132,4091,31dec2018,3728,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",2018,526.20862,6.265698,0,.035424601,.085222617,.38121542,0,.0038079855,,,,,,
27959,4093,31dec2018,4931,Utilities,2018,128047.91,11.760159,0,.022223994,.07343252,.39475325,.041493282,.0026025765,57,1,5,1,12507.161,16.341812
30940,4108,31dec2018,3561,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",2018,4559.1885,8.4249001,.0078607481,.00054007006,.0016028169,.3207953,.013529551,.16720708,46,0,1,0,7684.4268,15.854707
12008,4115,31jan2019,1623,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",2018,1763.4344,7.4750185,0,.08277598,.23409913,.40010437,0,.020749191,55,1,19,0,,
31051,4124,30jun2018,3845,"Healthcare, Medical Equipment, and Drugs",2018,24.199434,3.1863294,.04147483,-.071593001,-.48809835,.23281154,0,.0098802745,,,,,,
